,T,sigma,K,r,model,Model Price,Binomial Price,Lower,Upper,Absolute Error,Relative Error
67,0.25,0.25,110,0.03,mlp,126.76517671367156,1.838782939617722,35.673689123326454,217.85666430401668,124.92639377405385,6793.971767000716
68,0.25,0.25,110,0.05,poly,122.83123678124939,1.9610054363567178,15.310030149088647,230.35244341341013,120.87023134489267,6163.686703972284
69,0.25,0.25,110,0.05,random forest,234.04481604007873,1.9610054363567178,120.11981931964796,347.9698127605095,232.08381060372201,11834.939684558052
70,0.25,0.25,110,0.05,xgboost,275.665169081149,1.9610054363567178,150.91872206699088,400.41161609530707,273.70416364479223,13957.338341361125
71,0.25,0.25,110,0.05,mlp,123.19663319826086,1.9610054363567178,31.59105943072538,214.80220696579633,121.23562776190414,6182.319819936017
72,0.25,0.4,90,0.01,poly,268.4447350622692,13.701948484573988,62.88576582838064,474.0037042961578,254.74278657769523,1859.1719773614045
73,0.25,0.4,90,0.01,random forest,342.02266014295725,13.701948484573988,171.78032403457735,512.2649962513372,328.3207116583833,2396.1607506262
74,0.25,0.4,90,0.01,xgboost,410.574108475252,13.701948484573988,203.16825775957545,617.9799591909285,396.872159990678,2896.465130032324
75,0.25,0.4,90,0.01,mlp,157.02142870557415,13.701948484573988,46.772101154163735,267.27075625698455,143.31948022100016,1045.9788283568064
76,0.25,0.4,90,0.03,poly,268.46042774836053,14.001497153183651,62.90431495626373,474.0165405404573,254.45893059517687,1817.3694413623346
77,0.25,0.4,90,0.03,random forest,350.7189129668308,14.001497153183651,172.58149371819846,528.8563322154632,336.71741581364716,2404.867223338931
78,0.25,0.4,90,0.03,xgboost,410.60507911327556,14.001497153183651,203.20191250523732,618.0082457213139,396.6035819600919,2832.579813580239
79,0.25,0.4,90,0.03,mlp,157.0363600934099,14.001497153183651,46.79591327886409,267.27680690795574,143.03486294022625,1021.5683464086059
80,0.25,0.4,90,0.05,poly,268.4760491901734,14.303470051142844,62.922826592426986,474.0292717879198,254.17257913903055,1776.9994150386062
81,0.25,0.4,90,0.05,random forest,340.55647793911953,14.303470051142844,171.3643838099141,509.74857206832496,326.2530078879767,2280.936071606688
82,0.25,0.4,90,0.05,xgboost,410.6359346883972,14.303470051142844,203.23548567661132,618.036383700183,396.33246463725436,2770.8833116729425
83,0.25,0.4,90,0.05,mlp,157.0512359271054,14.303470051142844,46.81967654400377,267.28279531020706,142.74776587596256,997.993950877375
84,0.25,0.4,100,0.01,poly,267.3294268197836,8.060060816521945,62.20021239206784,472.4586412474993,259.2693660032616,3216.7172420311936
85,0.25,0.4,100,0.01,random forest,324.6102681167086,8.060060816521945,156.35927910276646,492.86125713065076,316.5502073001866,3927.3922927641565
86,0.25,0.4,100,0.01,xgboost,402.1589928706784,8.060060816521945,194.8730691102344,609.4449166311224,394.0989320541564,4889.52802001582
87,0.25,0.4,100,0.01,mlp,160.7664567026845,8.060060816521945,50.05314616922712,271.4797672361419,152.70639588616257,1894.6060006537025
88,0.25,0.4,100,0.03,poly,267.3485877426314,8.29160111885939,62.221582868450895,472.4755926168119,259.05698662377205,3124.3300649683024
89,0.25,0.4,100,0.03,random forest,332.54457093533006,8.29160111885939,156.44553974918813,508.643602121472,324.2529698164707,3910.619495177496
90,0.25,0.4,100,0.03,xgboost,402.1940756071833,8.29160111885939,194.91004956238825,609.4781016519784,393.90247448832395,4750.62016179705
91,0.25,0.4,100,0.03,mlp,155.04038162467205,8.29160111885939,45.23948497171803,264.8412782776261,146.74878050581265,1769.8485298820033
92,0.25,0.4,100,0.05,poly,267.36767148977015,8.526815406302743,62.24291113043759,472.4924318491027,258.84085608346743,3035.6099405194195
93,0.25,0.4,100,0.05,random forest,334.9680564357792,8.526815406302743,158.6149374911463,511.3211753804121,326.4412410294765,3828.4075059040424
94,0.25,0.4,100,0.05,xgboost,402.2290354457775,8.526815406302743,194.9469419125163,609.5111289790387,393.7022200394748,4617.224617627619
95,0.25,0.4,100,0.05,mlp,159.126173940696,8.526815406302743,48.956332763936544,269.29601511745545,150.59935853439325,1766.1852797126946
96,0.25,0.4,110,0.01,poly,274.1342301482409,4.32745751571661,69.15567570803262,479.11278458844913,269.80677263252426,6234.764215538355
97,0.25,0.4,110,0.01,random forest,340.2707699302002,4.32745751571661,162.2833655226351,518.2581743377652,335.94331241448356,7763.064367342557
98,0.25,0.4,110,0.01,xgboost,394.10627666819494,4.32745751571661,186.9649159292893,601.2476374071006,389.7788191524783,9007.109087422952
99,0.25,0.4,110,0.01,mlp,157.6096932890107,4.32745751571661,47.278064989037475,267.9413215889839,153.28223577329408,3542.085282561374
100,0.25,0.4,110,0.03,poly,274.1546520040137,4.484314348929896,69.17758546391397,479.1317185441135,269.6703376550838,6013.635902207346
101,0.25,0.4,110,0.03,random forest,329.23115856941365,4.484314348929896,159.09320466075295,499.3691124780744,324.74684422048375,7241.839419620058
102,0.25,0.4,110,0.03,xgboost,394.14532945822134,4.484314348929896,187.00507683641587,601.2855820800269,389.66101510929144,8689.422390789292
